Iterations,Trails,Inputs,Action,Reward,Waypoint,Penalty
3,26,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
3,27,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
3,28,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
3,29,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,left,-0.5
3,30,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
3,31,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
4,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': 'left'}",right,2,right,0
4,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
4,3,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
4,4,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5,right,-0.5
4,5,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5,right,-0.5
4,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
4,7,"{'light': 'red', 'oncoming': None, 'right': 'right', 'left': None}",None,0,forward,0
4,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
4,9,"{'light': 'red', 'oncoming': None, 'right': 'right', 'left': None}",left,-1,forward,-1
4,10,"{'light': 'green', 'oncoming': None, 'right': 'right', 'left': None}",forward,2,forward,0
4,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
4,12,"{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}",left,2,left,0
4,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
4,14,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
4,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
4,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1,left,-1
4,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",forward,-1,left,-1
4,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
4,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
4,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
4,21,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
5,1,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,-0.5,right,-0.5
5,2,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'}",left,2,left,0
5,3,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
5,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
5,5,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
5,6,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
5,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
5,8,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
5,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
5,10,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
5,11,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
5,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
5,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
5,14,"{'light': 'green', 'oncoming': None, 'right': 'right', 'left': None}",right,2,right,0
5,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
5,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
6,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
6,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
6,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
6,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5,forward,-0.5
6,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
6,6,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,left,0
6,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2,left,0
6,8,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
6,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
6,10,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
6,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
6,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': 'right'}",None,0,forward,0
6,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
7,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
7,2,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
7,3,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
7,4,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
7,5,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
7,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
7,7,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
7,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
7,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
7,10,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
7,11,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12,forward,0
8,1,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
8,2,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,right,0
8,3,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2,right,0
8,4,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
8,5,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
8,6,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
8,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
8,8,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
8,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
8,10,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",None,0,forward,0
8,11,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
8,12,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2,forward,0
