Iteration,Trial,Light,Oncoming,Right,Left,Action,Waypoint,Reward
64,15,red,None,None,None,None,forward,0
64,16,green,None,None,None,forward,forward,2
64,17,red,None,None,None,None,forward,0
64,18,red,None,None,None,None,forward,0
64,19,red,None,None,None,None,forward,0
64,20,red,None,None,None,None,forward,0
64,21,green,None,None,None,forward,forward,2
64,22,green,None,None,None,forward,forward,12
65,1,green,None,None,None,right,right,2
65,2,green,None,None,None,right,right,2
65,3,red,None,None,None,None,forward,0
65,4,red,None,None,None,None,forward,0
65,5,green,None,None,None,forward,forward,2
65,6,green,None,None,None,forward,forward,2
65,7,red,None,None,None,right,right,2
65,8,red,None,None,None,None,forward,0
65,9,red,None,None,None,None,forward,0
65,10,red,None,None,None,None,forward,0
65,11,green,None,None,None,forward,forward,12
66,1,red,None,None,None,right,right,2
66,2,red,None,None,None,None,forward,0
66,3,red,None,None,None,None,forward,0
66,4,red,None,None,None,None,forward,0
66,5,red,None,None,None,None,forward,0
66,6,green,None,None,None,forward,forward,2
66,7,red,None,None,None,None,forward,0
66,8,red,None,None,None,None,forward,0
66,9,red,None,None,None,None,forward,0
66,10,red,None,None,None,None,forward,0
66,11,green,None,None,None,forward,forward,2
66,12,red,None,None,None,right,right,12
67,1,green,None,None,None,forward,forward,2
67,2,red,None,None,None,None,forward,0
67,3,red,None,None,None,None,forward,0
67,4,red,None,None,None,None,forward,0
67,5,green,None,None,None,forward,forward,2
67,6,green,None,None,None,forward,forward,2
67,7,green,None,None,None,forward,forward,2
67,8,red,None,None,None,None,left,0
67,9,red,None,None,None,None,left,0
67,10,red,None,None,None,None,left,0
67,11,green,None,None,None,left,left,12
68,1,green,None,None,None,forward,forward,2
68,2,red,forward,None,None,None,forward,0
68,3,red,forward,None,None,None,forward,0
68,4,red,forward,None,None,None,forward,0
68,5,red,forward,None,None,None,forward,0
68,6,green,None,None,None,forward,forward,2
68,7,green,None,None,None,right,right,2
68,8,red,None,None,None,None,forward,0
68,9,red,None,None,None,None,forward,0
68,10,red,None,None,None,None,forward,0
68,11,green,None,None,None,forward,forward,2
68,12,green,None,None,None,forward,forward,2
68,13,red,None,None,None,None,forward,0
68,14,red,None,None,None,None,forward,0
68,15,red,None,None,None,None,forward,0
68,16,green,None,None,None,forward,forward,12
69,1,red,None,None,None,right,right,2
69,2,red,None,None,None,right,right,2
69,3,green,None,None,None,forward,forward,2
69,4,red,None,None,None,None,forward,0
69,5,red,None,None,right,None,forward,0
69,6,green,None,None,None,forward,forward,2
69,7,green,None,None,None,forward,forward,12
70,1,red,None,None,None,right,right,2
70,2,green,None,None,None,right,right,2
70,3,green,None,None,None,forward,forward,2
70,4,red,None,None,None,None,forward,0
70,5,red,None,None,None,None,forward,0
70,6,red,None,None,None,None,forward,0
70,7,green,None,None,None,forward,forward,2
70,8,green,None,None,None,left,left,12
71,1,red,None,None,None,None,left,0
71,2,red,None,None,None,None,left,0
71,3,red,None,None,None,None,left,0
71,4,green,None,None,None,left,left,2
71,5,green,None,None,None,forward,forward,2
71,6,green,None,None,None,forward,forward,2
71,7,green,None,None,None,forward,forward,2
71,8,green,None,None,None,right,right,2
71,9,green,None,None,None,forward,forward,2
71,10,green,None,None,None,forward,forward,12
72,1,red,None,None,None,right,right,2
72,2,red,None,None,None,right,right,2
72,3,green,None,None,None,forward,forward,2
72,4,red,None,None,None,None,forward,0
72,5,green,None,None,None,forward,forward,2
72,6,red,None,None,None,None,forward,0
72,7,red,None,None,None,None,forward,0
72,8,red,None,None,None,None,forward,0
72,9,red,None,None,None,None,forward,0
72,10,red,None,None,None,None,forward,0
72,11,green,None,None,None,forward,forward,2
72,12,green,None,None,None,right,right,2
72,13,green,None,None,None,forward,forward,2
72,14,green,None,None,None,forward,forward,12
73,1,green,None,None,None,right,right,2
73,2,green,None,None,None,right,right,2
73,3,green,None,None,None,forward,forward,2
73,4,green,None,None,None,forward,forward,2
73,5,red,None,None,None,None,left,0
73,6,red,None,None,None,None,left,0
73,7,red,None,None,None,None,left,0
73,8,red,None,None,None,None,left,0
73,9,green,None,None,None,left,left,2
73,10,green,None,None,None,forward,forward,2
73,11,green,None,None,None,forward,forward,12
74,1,red,None,None,None,right,right,2
74,2,green,None,None,None,right,right,2
74,3,green,None,None,None,forward,forward,2
74,4,red,left,None,None,None,forward,0
74,5,red,left,None,None,None,forward,0
74,6,red,left,None,None,None,forward,0
74,7,green,left,None,None,forward,forward,2
74,8,green,None,None,None,left,left,2
74,9,green,None,None,None,forward,forward,2
74,10,green,None,None,None,forward,forward,2
74,11,red,None,None,None,None,forward,0
74,12,red,None,None,None,None,forward,0
74,13,green,None,None,None,forward,forward,12
75,1,red,None,None,None,right,right,2
75,2,green,None,None,None,right,right,2
75,3,red,None,None,None,None,forward,0
75,4,green,None,None,None,forward,forward,2
75,5,red,None,None,None,None,left,0
75,6,green,None,None,None,left,left,2
75,7,red,None,None,None,None,forward,0
75,8,red,None,None,None,None,forward,0
75,9,red,None,None,None,None,forward,0
75,10,red,None,None,None,None,forward,0
75,11,green,None,None,None,forward,forward,2
75,12,red,None,None,None,None,forward,0
75,13,red,None,None,None,None,forward,0
75,14,red,None,None,None,None,forward,0
75,15,red,None,None,None,None,forward,0
75,16,green,None,None,None,forward,forward,2
75,17,red,None,None,None,None,forward,0
75,18,red,None,None,None,None,forward,0
75,19,green,None,None,None,forward,forward,12
76,1,green,None,None,None,right,right,2
76,2,red,None,None,None,None,forward,0
76,3,red,None,None,None,None,forward,0
76,4,red,None,None,None,None,forward,0
76,5,green,None,None,None,forward,forward,2
76,6,red,None,None,None,None,forward,0
76,7,red,None,None,None,None,forward,0
76,8,red,None,None,None,None,forward,0
76,9,red,None,None,None,None,forward,0
76,10,red,None,None,None,None,forward,0
76,11,green,None,None,None,forward,forward,2
76,12,green,None,None,None,forward,forward,2
76,13,green,None,None,None,right,right,2
76,14,green,None,None,None,forward,forward,12
77,1,green,None,None,None,right,right,2
77,2,green,None,None,None,forward,forward,2
77,3,green,None,None,None,forward,forward,2
77,4,green,None,None,None,left,left,2
77,5,green,None,None,None,forward,forward,2
77,6,red,None,None,None,None,forward,0
77,7,red,None,None,None,None,forward,0
77,8,red,None,None,None,None,forward,0
77,9,green,None,None,None,forward,forward,12
78,1,green,None,None,None,right,right,2
78,2,green,None,None,None,right,right,2
78,3,red,None,None,None,None,forward,0
78,4,green,None,None,None,forward,forward,2
78,5,red,None,None,left,None,left,0
78,6,green,None,None,left,left,left,12
79,1,red,None,None,None,right,right,2
79,2,red,None,None,None,None,forward,0
79,3,red,None,None,None,None,forward,0
79,4,red,None,None,None,None,forward,0
79,5,green,None,None,None,forward,forward,2
79,6,green,None,None,None,forward,forward,2
79,7,red,None,None,None,None,forward,0
79,8,red,None,None,None,None,forward,0
79,9,red,None,None,None,None,forward,0
79,10,green,None,None,None,forward,forward,2
79,11,red,left,None,None,None,forward,0
79,12,red,left,None,None,None,forward,0
79,13,green,left,None,None,forward,forward,2
79,14,red,None,None,None,None,forward,0
79,15,red,None,None,None,None,forward,0
79,16,green,None,None,None,forward,forward,2
79,17,green,None,None,None,left,left,2
79,18,green,None,None,None,forward,forward,2
79,19,red,None,None,None,None,forward,0
79,20,red,None,None,None,None,forward,0
79,21,red,None,left,None,None,forward,0
79,22,green,None,left,None,forward,forward,2
79,23,red,None,None,None,None,forward,0
79,24,red,None,None,None,None,forward,0
79,25,red,None,None,None,None,forward,0
79,26,green,None,None,None,forward,forward,12
80,1,red,None,None,None,None,forward,0
80,2,red,None,None,None,None,forward,0
80,3,red,None,None,None,None,forward,0
80,4,red,None,None,None,None,forward,0
80,5,red,None,None,None,None,forward,0
80,6,green,None,None,None,forward,forward,2
80,7,green,None,None,None,forward,forward,2
80,8,green,None,None,None,right,right,2
80,9,red,None,None,None,None,forward,0
80,10,red,None,None,None,None,forward,0
80,11,green,None,None,None,forward,forward,2
80,12,red,None,None,None,None,forward,0
80,13,green,None,None,None,forward,forward,12
81,1,green,None,None,None,left,left,2
81,2,green,None,left,None,forward,forward,2
81,3,red,None,None,None,right,right,2
81,4,green,None,None,None,forward,forward,2
81,5,red,None,None,None,None,forward,0
81,6,green,None,None,None,forward,forward,2
81,7,red,left,None,None,None,forward,0
81,8,red,left,None,None,None,forward,0
81,9,red,left,None,None,None,forward,0
81,10,red,left,None,None,None,forward,0
81,11,green,left,None,None,forward,forward,2
81,12,green,None,None,None,forward,forward,12
82,1,red,None,None,None,None,forward,0
82,2,red,None,None,None,None,forward,0
82,3,red,None,None,None,None,forward,0
82,4,green,None,None,None,forward,forward,2
82,5,green,None,None,None,forward,forward,2
82,6,red,None,None,None,None,forward,0
82,7,red,None,None,None,None,forward,0
82,8,red,None,None,None,None,forward,0
82,9,green,None,None,None,forward,forward,2
82,10,red,None,None,None,None,forward,0
82,11,green,None,None,None,forward,forward,2
82,12,red,None,None,None,None,forward,0
82,13,green,None,None,None,forward,forward,2
82,14,red,None,None,None,right,right,2
82,15,green,None,None,None,forward,forward,2
82,16,green,None,None,None,forward,forward,2
82,17,red,None,None,None,None,forward,0
82,18,red,None,None,None,None,forward,0
82,19,red,None,None,None,None,forward,0
82,20,red,None,None,None,None,forward,0
82,21,green,None,None,None,forward,forward,12
83,1,red,None,None,None,right,right,2
83,2,green,None,None,None,forward,forward,2
83,3,red,None,None,None,None,forward,0
83,4,red,None,None,None,None,forward,0
83,5,red,None,None,None,None,forward,0
83,6,green,None,None,None,forward,forward,2
83,7,green,None,None,None,forward,forward,12
84,1,green,None,None,None,forward,forward,2
84,2,green,None,None,None,forward,forward,2
84,3,green,None,None,None,right,right,2
84,4,red,None,None,None,None,forward,0
84,5,red,None,None,None,None,forward,0
84,6,green,None,None,None,forward,forward,2
84,7,red,None,None,left,None,forward,0
84,8,red,None,None,None,None,forward,0
84,9,green,None,None,None,forward,forward,12
85,1,green,None,None,None,forward,forward,2
85,2,red,right,None,None,None,left,0
85,3,red,right,None,None,None,left,0
85,4,red,right,None,None,None,left,0
85,5,red,right,None,None,None,left,0
85,6,green,right,None,None,left,left,-1
85,7,green,right,None,None,left,left,-1
85,8,green,right,None,None,None,left,0
85,9,green,right,None,None,None,left,0
85,10,green,right,None,None,right,left,-0.5
85,11,green,None,None,None,right,right,2
85,12,green,None,left,None,right,right,2
85,13,red,None,None,None,right,right,2
85,14,red,right,right,None,None,left,0
85,15,red,right,None,None,None,left,0
85,16,green,right,None,None,forward,left,-0.5
85,17,red,None,None,None,right,right,2
85,18,red,None,None,None,right,right,2
85,19,red,None,None,None,right,right,2
85,20,red,None,right,left,None,forward,0
85,21,green,None,right,left,forward,forward,2
86,1,red,None,None,None,right,right,2
86,2,green,None,None,None,right,right,2
86,3,green,None,None,None,forward,forward,2
86,4,red,None,None,None,None,left,0
86,5,red,None,None,None,None,left,0
86,6,red,None,None,None,None,left,0
86,7,green,None,None,None,None,left,0
86,8,green,None,None,None,None,left,0
86,9,green,None,None,None,right,left,-0.5
86,10,red,None,None,None,right,right,2
86,11,red,None,None,None,right,right,2
86,12,red,None,None,None,right,right,2
86,13,green,None,None,None,right,left,-0.5
86,14,green,None,None,None,right,right,2
86,15,red,None,None,None,right,right,2
